name,barcode,order,quantity,
CST-1903:13.2,8592165110332,from stock,0,
CST-1904:15.1,8592165120980,from stock,0,
CST-1904:16.1,8592165056531,from stock,0,
CST-1904:17.1,8592165071022,from stock,0,
CST-1905:13.1,8592165120225,from stock,0,
CST-1905:13.2,8592165120249,from stock,0,
CST-1905:14.2,8592165120232,from stock,0,
CST-1906:14.1,8592165092782,from stock,0,
CST-1907:14.1,8592165049335,from stock,0,
CST-1907:15.1,8592165049342,from stock,0,
CST-2150:15.2,8592165057088,from stock,0,
CST-248:12.1,8592165121796,from stock,0,
CST-249:12.2,8592165114880,from stock,0,
CST-249:13.2,8592165098081,from stock,0,
CST-249:14.2,8592165109947,from stock,0,
CST-249:15.2,8592165106274,from stock,0,
CST-249:17.2,8592165106588,from stock,0,
CST-250:13.1,8592165022352,from stock,0,
CST-250:14.1,8592165028576,from stock,0,
CST-250:15.1,8592165044279,from stock,0,
CST-252:13.1,8592165044132,from stock,0,
CST-252:14.1,8592165044149,from stock,0,
CST-252:15.1,8592165044156,from stock,0,
CST-253:13.2,8592165117454,from stock,0,
CST-253:14.2,8592165106922,from stock,0,
CST-253:15.2,8592165117461,from stock,0,
CST-2563025:12.1,8592165073354,from stock,0,
CST-2563025:13.1,8592165073361,from stock,0,
CST-2563025:14.1,8592165073378,from stock,0,
CST-2563025:15.1,8592165106533,from stock,0,
CST-259:13.2,8592165107073,from stock,0,
CST-259:14.2,8592165100500,from stock,0,
CST-259:15.2,8592165105857,from stock,0,
CST-259:16.2,8592165106830,from stock,0,
CST-259:17.2,8592165106885,from stock,0,
CST-264:17.2,8592165118314,from stock,0,
CST-269:14.1,8592165044163,from stock,0,
CST-269:15.1,8592165024981,from stock,0,
CST-269:16.1,8592165044170,from stock,0,
CST-270:13.2,8592165093055,from stock,0,
CST-270:14.2,8592165092799,from stock,0,
CST-270:15.2,8592165112060,from stock,0,
CST-274:13.1,8592165044187,from stock,0,
CST-274:14.1,8592165044194,from stock,0,
CST-274:14.2,8592165114231,from stock,0,
CST-274:15.1,8592165044200,from stock,0,
CST-278:15.2,8592165117478,from stock,0,
CST-278:16.2,8592165092805,from stock,0,
CST-278:17.2,8592165092812,from stock,0,
CST-280:13.2,8592165106984,from stock,0,
